Title,Description,Webpage,TaDiRAH goals & methods,Code license,Developer,Platform,Status,Tags,TAPoR,DiRT URL,Updated date
Meaki,"Meaki allows you to clip, organize and share web pages into a visually engaging Clipset. It is similar to other pinboard applications like Pinterest, but allows users to clip entire websites rather than just images and organize them in a sharable, visual collection. Meaki has a built in social component, clipsets are public and can be browsed by anyone.
Meaki is a brower application. Just make an account on Meaki.com and put the “Bookmark Button” in your bookmarks toolbar. Once you come to a webpage you want to clip, click on the Meaki button, and it will guide through clipping and saving the page.
Features:
Simple and easy to use.
Save webpages for later viewing purposes – never loose a website you love.
Search other clippings and Clipsets on Meaki to find new and interesting websites.
*NB At the time this review was written (Nov 10/14) the Meaki.com website was not online and no message about the future of the service was available.
",http://www.meaki.com,"Organizing, Archiving",Closed source,Meaki LLC,Run in Browser,No longer supported,"bookmark, website, clip, organize, collection",,http://dirtdirectory.org/resources/meaki,12/29/14
OpenRefine,"OpenRefine (formerly Google Refine) is a tool for cleaning messy data (e.g. fixing inconsistencies), transforming it between different formats, and exploring data.
",http://openrefine.org/,Cleanup,"Open source, BSD",,Other,Active,"data preprocessing, data conversion",,http://dirtdirectory.org/resources/openrefine,3/22/15
Pear Note,"Software (Mac only, $40) for taking notes during presentations - allows you to sync text, audio, video, and slides.
",http://www.usefulfruit.com/pearnote/,,,Useful Fruit,Other,Active,,,http://dirtdirectory.org/resources/pear-note,12/29/14
Things,"Easy to use task management software for Mac, iPad, and iPhone with synchronisation between all three
",http://culturedcode.com/things/,,Closed source,Cultured Code,Other,Active,task management,,http://dirtdirectory.org/resources/things,12/29/14
DocumentCloud,"Designed for journalists, a web-based service for working with primary sources that features search and analysis, highlighting and annotation, and document sharing. Uses Tesseract for OCR and allows users to upload documents and search other its document collection.
",https://www.documentcloud.org/home,"Enrichment, Annotating, Dissemination, Publishing",Open source,Investigative Reporters and Editors,Run in Browser,Active,,,http://dirtdirectory.org/resources/documentcloud,12/29/14
Basecamp,"Project management software for sharing files, messages, and task management, including options for daily update emails, and real time document editing.
",https://basecamp.com,"Storage, Organizing, Dissemination, Commenting, Communicating, Collaboration",Closed source,,Other,Active,"project management, task management, productivity",,http://dirtdirectory.org/resources/basecamp,12/29/14
nanoc,"nanoc is a  Ruby-based, ""static site generator"" --it works as a tool that runs on your local computer and compiles documents written in formats such as Markdown, Textile, Haml… into a static web site consisting of simple HTML files, ready for uploading to any web server.
",http://nanoc.ws/,,MIT License,Denis Defreyne,,Active,"http:/nanoc.stoneship.org/docs/, markup, metadata, templating",,http://dirtdirectory.org/resources/nanoc,12/29/14
DocScanner,"The DocScanner app uses a device's built-in camera to scan documents. Features include image optimization, OCR, document type recognition (document, business card, receipt, etc.), autosorting, and ability to upload documents to  Evernote, Dropbox, and Google Drive.
",http://www.docscannerapp.com/,"Capture, DataRecognition, Organizing",Closed source,Norfello Oy,Other,Active,"document management, text scanning, scanning, OCR",,http://dirtdirectory.org/resources/docscanner,12/29/14
TexTexture,"Textexture is a tool for visualizing any text as a network. The resulting graph can be used to get a quick visual summary of the text, read the most relevant excerpts (by clicking on the nodes), and find similar texts.
",http://textexture.com/,,,Nodus Labs,Run in Browser,Beta,network analysis,,http://dirtdirectory.org/resources/textexture,12/29/14
Topic Modeling Tool,"A graphical user interface tool for Latent Dirichlet Allocation topic modeling.
",https://code.google.com/archive/p/topic-modeling-tool,Content Analysis,Eclipse Public License (EPL),,Other,Active,"text analysis, topic modeling",,http://dirtdirectory.org/resources/topic-modeling-tool,2/17/16
Org Mode,"Org mode is for keeping notes, maintaining TODO lists, doing project planning, and authoring with a fast and effective plain-text system.
Org is not a standalone application but is a plugin in GNUEmacs and is now available in some Emacs distributions. As an Emacs plug in it is a linemode text based note manager rather than a gui tool
",http://orgmode.org/,,GNU GPL,"Carsten Dominik, Bastien Guerry",Other,Active,,,http://dirtdirectory.org/resources/org-mode,12/29/14
Commons In A Box,"CBOX offers a unique suite of features designed to give users of all skill levels the ability to create vibrant online communities.  Essentially a WordPress plugin, its intuitive, out-of-the-box set-up tool guides site administrators through each step of installation.  Its powerful theme, developed for Commons In A Box in collaboration with PressCrew and their Infinity Theming Engine, lets users fully customize their sites.  The plugins it manages are totally configurable from the CBOX dashboard, which controls updates and compatibility issues.  The sitewide wiki enables members to collaboratively build a knowledge repository.
There is a dependency on having a full local or externally hosted wordpress installation available
",http://commonsinabox.org/,Web development,,CUNY,Run in Browser,Active,,,http://dirtdirectory.org/resources/commons-box,12/29/14
Tesserae,"The Tesserae project aims to provide a flexible and robust web interface for exploring intertextual parallels.
",http://tesserae.caset.buffalo.edu/,,,University of Buffalo,Run in Browser,Active,"text analysis, collation",,http://dirtdirectory.org/resources/tesserae,12/29/14
Participad,"Participad is a WordPress plugin that allows multiple people to edit the same WP content at the same time. Powered by Etherpad Lite, Participad gives you: notepads for collaborative notetaking; synchronous authoring of any content in the WordPress Dashboard; front-end editing. You can download it from the WordPress plugin repository. 
Participad has three modules: 
Dashboard – The Dashboard module puts Etherpad editors into the WordPress Dashboard. Participad removes the “Visual” and “HTML” tabs from the standard WP editor, and replaces them with a “Participad” tab.
Frontend – The Frontend module allows users to edit WordPress content from the front end of your website – no Dashboard required. Participad modifies the Edit links on your posts and pages so that, instead of leading to the Dashboard, the static content of your post is swapped with an editable Etherpad window.
Notepad – The Notepad module enables a new WordPress Post Type called Notepads. Notepads are collaborative note-taking documents, which can optionally be linked to existing static posts or pages. Participad provides several shortcodes and widgets that make it easy to create new Notepads from the front end of your website.
 N.B. Participad requires a separate Etherpad Lite Installation. 
",http://participad.org/,"Writing, Collaboration","Open source, GNU GPL v3",Roy Rosenzweig Center for History and New Media.,Run in Browser,Active,"collaborative editing, plugin, Wordpress",,http://dirtdirectory.org/resources/participad,12/29/14
Classical Text Editor,"The Classical Text Editor was designed to enable scholars working on a critical edition or on a text with commentary or translation to prepare a camera-ready copy or electronic publication without bothering much about making up and page proofs. Its features, formed in continuous discussion with editors using the program, meet the practical needs of the scholar concerning text constitution, entries to different apparatus and updating them when the text has been changed, as well as creating and redefining sigla. The possibility to search for and visualise manuscript constellations may be of considerable help in detecting affiliations between sources. It is the primary purpose of the Classical Text Editor to do the automatable work which consumes so much time and energy, and let the scholar concentrate on scientific issues.
",http://cte.oeaw.ac.at//,,,Commission for Editing the Corpus of the Latin Church Fathers,Other,Active,"scholarly edition, scholarly editing",,http://dirtdirectory.org/resources/classical-text-editor,12/29/14
